model_id,model_type,AUC,date,params,notes
logreg_v1,LogisticRegression,0.9091627498252416,2025-06-10,"{'penalty': 'l2', 'C': 1.0, 'solver': 'lbfgs', 'max_iter': 300, 'random_state': 42}","Standard Logistic Regression: l2, C=1.0"
logreg_v2,LogisticRegression,0.909166414765018,2025-06-10,"{'penalty': 'l2', 'C': 0.01, 'solver': 'lbfgs', 'max_iter': 500, 'random_state': 42}","Stronger regularization: l2, C=0.01"
rf_v1,RandomForest,0.9322636758828302,2025-06-10,"{'n_estimators': 100, 'max_depth': 15, 'min_samples_leaf': 5, 'max_features': 'sqrt', 'bootstrap': True, 'random_state': 42, 'n_jobs': -1}","User baseline: 100 trees, depth=15, leaf=5"
rf_v2,RandomForest,0.9367607743436862,2025-06-10,"{'n_estimators': 300, 'max_depth': 17, 'min_samples_leaf': 3, 'max_features': 'sqrt', 'bootstrap': True, 'random_state': 42, 'n_jobs': -1}","Suggested: 300 trees, depth=17, leaf=3 (more expressive)"
adaboost_v1,AdaBoost,0.9252680314724874,2025-06-10,"{'n_estimators': 100, 'learning_rate': 0.5, 'algorithm': 'SAMME', 'random_state': 42}","AdaBoost v1: n_estimators=300, learning_rate=0.5"
rf_v1,RandomForest,0.9322636758828302,2025-06-10,"{'n_estimators': 100, 'max_depth': 15, 'min_samples_leaf': 5, 'max_features': 'sqrt', 'bootstrap': True, 'random_state': 42, 'n_jobs': -1}","User baseline: 100 trees, depth=15, leaf=5"
rf_v2,RandomForest,0.9264352690897162,2025-06-10,"{'n_estimators': 500, 'max_depth': 19, 'min_samples_leaf': 2, 'max_features': 'log2', 'bootstrap': True, 'random_state': 42, 'n_jobs': -1}","Suggested: 300 trees, depth=17, leaf=3 (more expressive)"
rf_v1,RandomForest,0.9322636758828302,2025-06-10,"{'n_estimators': 100, 'max_depth': 15, 'min_samples_leaf': 5, 'max_features': 'sqrt', 'bootstrap': True, 'random_state': 42, 'n_jobs': -1}","User baseline: 100 trees, depth=15, leaf=5"
rf_v2,RandomForest,0.940701128313294,2025-06-10,"{'n_estimators': 500, 'max_depth': 19, 'min_samples_leaf': 1, 'max_features': 'sqrt', 'bootstrap': True, 'random_state': 42, 'n_jobs': -1}","Suggested: 300 trees, depth=17, leaf=3 (more expressive)"
rf_v1,RandomForest,0.9281382008967466,2025-06-10,"{'n_estimators': 150, 'max_depth': 13, 'min_samples_leaf': 4, 'max_features': 'sqrt', 'bootstrap': True, 'random_state': 42, 'n_jobs': -1}","User baseline: 100 trees, depth=15, leaf=5"
rf_v1,RandomForest,0.9225302030502908,2025-06-10,"{'n_estimators': 300, 'max_depth': 17, 'min_samples_leaf': 2, 'max_features': 'log2', 'bootstrap': True, 'random_state': 42, 'n_jobs': -1}","User baseline: 100 trees, depth=15, leaf=5"
rf_v1,RandomForest,0.9322636758828302,2025-06-10,"{'n_estimators': 100, 'max_depth': 15, 'min_samples_leaf': 5, 'max_features': 'sqrt', 'bootstrap': True, 'random_state': 42, 'n_jobs': -1}","User baseline: 100 trees, depth=15, leaf=5"
rf_v2,RandomForest,0.940701128313294,2025-06-10,"{'n_estimators': 500, 'max_depth': 19, 'min_samples_leaf': 1, 'max_features': 'sqrt', 'bootstrap': True, 'random_state': 42, 'n_jobs': -1}","Suggested: 300 trees, depth=17, leaf=3 (more expressive)"
rf_SPS1,RandomForest,0.9281382008967466,2025-06-10,"{'n_estimators': 150, 'max_depth': 13, 'min_samples_leaf': 4, 'max_features': 'sqrt', 'bootstrap': True, 'random_state': 42, 'n_jobs': -1}","User baseline: 100 trees, depth=15, leaf=5"
rf_SPS2,RandomForest,0.9225302030502907,2025-06-10,"{'n_estimators': 300, 'max_depth': 17, 'min_samples_leaf': 2, 'max_features': 'log2', 'bootstrap': True, 'random_state': 42, 'n_jobs': -1}","User baseline: 100 trees, depth=15, leaf=5"
